01, 79981679394, 79571901641, 1704067200, 1704067764
01, 79105019470, 79981679394, 1705234719, 1705235196
01, 79168034603, 79079765785, 1706317320, 1706317353
02, 79079765785, 79168034603, 1706317320, 1706317353
01, 79168034603, 79981679394, 1707586256, 1707586709
01, 79304297409, 79981679394, 1708985661, 1708985905
02, 79940402705, 79304297409, 1710454553, 1710455092
02, 79571901641, 79105019470, 1711572013, 1711572238
01, 79304297409, 79105019470, 1712969736, 1712969898
01, 79571901641, 79079765785, 1714434842, 1714435288
